%%BEGINHEADER
%Position File
%Date: 3/12/2003
%Time: 12:27:39 AM
%File Type: Binary 
%Format: 
%--------------------------
%|  Timestamp   (Double)  |
%|------------------------|
%|  X coord     (Single)  |
%|------------------------|
%|  Y coord     (Single)  |
%|------------------------|
%|  Direction   (Single)  |
%--------------------------
%
%Use following record type to read in:
%Public Type PosRecord
%    TS As Double
%    X As Single
%    Y As Single
%    Dir As Single
%End Type
%%ENDHEADER
5059596717,226.0746,371.0979,-99
5059630050,225.498,371.2874,-99
5059663383,224.7446,373.7584,-99
5059696716,225.5325,376.2319,-99
5059730049,225.0276,380.1691,-99
5059763382,225.9837,384.6123,-99
5059803185,227.0643,389.125,-99
5059836518,227.207,393.7396,-99
5059869851,227.8858,398.3076,-99
5059903184,228.2103,401.7965,-99
5059936517,228.8649,404.6571,-99
5059969850,228.5135,407.246,-99
5060003183,228,409.8445,-99
5060036516,227.9311,410.5866,-99
5060069849,226.6355,412.4485,-99
5060103182,227.5344,414.7592,-99
5060136515,228.1847,418.9458,-99
5060169848,229.3114,421.8531,-99
5060203181,230.2533,425.3787,-99
5060236514,233.2917,427.9583,-99
5060269847,236.1445,431.587,-99
5060303180,236.981,434.5735,-99
5060336513,240.4897,435.8046,-99
5060369846,239.4759,439.3391,-99
5060403179,241.3467,441.9774,-99
5060436512,243.4593,442.7655,-99
5060469845,244.541,439.9615,-99
5060503178,248.3523,444.0018,-99
5060536511,248.8609,444.381,-99
5060569844,249.1625,445.1511,-99
5060603177,250.3098,445.3696,-99
5060636510,250.7482,445.3389,-99
5060669843,250.4267,445.2931,-99
5060703176,250.7283,445.4344,-99
5060736509,250.3225,445.7243,-99
5060769842,250.1941,445.7172,-99
5060803175,249.8996,446.1524,-99
5060836508,249.458,446.4419,-99
5060869841,249.4673,447.3945,-99
5060903174,248.9599,447.7004,-99
5060936507,247.9367,447.5969,-99
5060969840,247.267,447.3655,-99
5061003173,246.3689,446.906,-99
5061036506,246.1805,446.4309,-99
5061069839,246.8597,447.2345,-99
5061103172,246.5992,446.1512,-99
5061136505,244.4583,443.9632,-99
5061169838,244.6364,447.6566,-99
5061203171,245.4096,449.0941,-99
5061236504,246.1071,449.8623,-99
5061269837,246.7377,449.4604,-99
5061303170,247.8324,450.8588,-99
5061336503,248.1846,451.9712,-99
5061369836,248.9658,453.2051,-99
5061403169,251.5809,454.5505,-99
5061436502,253.1699,454.2,-99
5061469835,256.4647,458.8364,-99
5061503168,259.3541,461.428,-99
5061536501,261.9132,462.3076,-99
5061569834,264.3293,463.0201,-99
5061603167,264.8337,462.5819,-99
5061636500,264.7494,463.0898,-99
5061669833,264.4565,464.4713,-99
5061703166,263.535,464.862,-99
5061736499,262.6958,464.625,-99
5061769832,261.2062,464.4454,-99
5061803165,260.1729,463.486,-99
5061836498,258.9083,463.4518,-99
